feature,importance
Gender_encoded,0.66205484
Age,0.19787955
Tracking_F_4,0.02397693
Tracking_F_2,0.01680957
sampling_rate_1,0.015704866
trial_dur_2,0.009919992
sac_count_1,0.008700069
Recording_1,0.0061411797
fixation_rate_1,0.0059721074
trial_dur_1,0.005502453
gaze_vert_2,0.0047363774
GazePoint_of_I_6,0.004194548
blink_rate_1,0.0037571075
Recording_2,0.0032398042
gaze_vert_1,0.0031436745
fix_count_2,0.0030671216
Recording_3,0.0029421698
GazePoint_of_I_2,0.0026048648
GazePoint_of_I_11,0.0020341536
fix_count_1,0.0018541405
GazePoint_of_I_8,0.0012883666
saccade_rate_1,0.001277975
Tracking_F_1,0.001251519
right_eye_c_3,0.0011740945
GazePoint_of_I_4,0.0011307383
blink_count_1,0.0009868025
gaze_vert_4,0.0009337007
gaze_velo_1,0.00086830556
gaze_velo_2,0.0008393928
left_eye_c_3,0.0007958563
fix_dur_avg_1,0.0007934709
GazePoint_of_I_3,0.00058978435
gaze_velo_3,0.0005815219
GazePoint_of_I_12,0.00043472843
gaze_hori_3,0.00033545544
GazePoint_of_I_10,0.00032610053
gaze_vert_3,0.00032511662
gaze_hori_4,0.0003247087
blink_count_2,0.00031919772
Tracking_F_3,0.00025215145
gaze_velo_4,0.00023740307
GazePoint_of_I_9,0.00020376263
blink_count_3,0.00018209014
GazePoint_of_I_5,0.0001781347
GazePoint_of_I_1,0.00013414702
right_eye_c_1,0.0
gaze_hori_2,0.0
left_eye_c_2,0.0
left_eye_c_1,0.0
right_eye_c_2,0.0
fix_count_4,0.0
fix_count_3,0.0
blink_count_4,0.0
GazePoint_of_I_7,0.0
sac_count_4,0.0
sac_count_3,0.0
gaze_hori_1,0.0
sac_count_2,0.0
